Date,Open,Close,High,Low
2018-01-01,1067.5,1067.5,1067.5,1067.5
2018-01-02,1066.5,1096.0,1099.0,1066.0
2018-01-03,1095.5,1088.0,1097.0,1084.0
2018-01-04,1086.5,1102.5,1108.5,1083.5
2018-01-05,1100.0,1091.5,1103.0,1086.5
2018-01-06,1097.8333333333333,1094.8333333333333,1103.0,1087.8333333333333
2018-01-07,1095.6666666666667,1098.1666666666667,1103.0,1089.1666666666667
2018-01-08,1093.5,1101.5,1103.0,1090.5
2018-01-09,1101.0,1102.0,1113.5,1100.0
2018-01-10,1101.5,1087.0,1104.0,1084.0
2018-01-11,1087.0,1087.5,1093.0,1078.5
2018-01-12,1087.5,1122.0,1127.5,1087.5
2018-01-13,1099.5,1124.3333333333333,1131.3333333333333,1098.5
2018-01-14,1111.5,1126.6666666666667,1135.1666666666667,1109.5
2018-01-15,1123.5,1129.0,1139.0,1120.5
2018-01-16,1129.5,1096.0,1132.5,1091.5
2018-01-17,1097.0,1120.0,1120.5,1097.0
2018-01-18,1116.0,1101.5,1118.5,1099.5
2018-01-19,1102.0,1108.5,1115.5,1102.0
2018-01-20,1105.25,1108.5,557.75,551.0
2018-01-21,1108.5,1108.5,0.0,0.0
2018-01-22,1109.5,1098.0,1111.5,1086.0
2018-01-23,1098.5,1094.0,1102.5,1088.0
2018-01-24,1095.0,1112.5,1113.5,1094.5
2018-01-25,1110.5,1101.0,1115.5,1095.75
2018-01-26,1095.5,1093.0,1103.0,1082.5
2018-01-27,1094.25,1093.0,1098.0,1087.75
2018-01-28,1093.0,1093.0,1093.0,1093.0
2018-01-29,1094.0,1092.0,1094.5,1083.0
2018-01-30,1089.5,1057.0,1091.5,1050.0
2018-01-31,1059.0,1030.5,1063.5,1027.0
2018-02-01,1032.0,1042.0,1045.5,1017.0
2018-02-02,1041.0,1052.5,1054.5,1038.0
2018-02-03,1046.75,1050.75,1053.5,1043.5
2018-02-04,1052.5,1049.0,1052.5,1049.0
2018-02-05,1050.0,1037.0,1050.0,1030.5
2018-02-06,1032.5,1014.0,1032.5,1004.5
2018-02-07,1015.0,988.0,1017.5,983.5
2018-02-08,990.0,965.0,990.5,962.0
2018-02-09,965.0,978.0,982.5,962.5
2018-02-10,971.5,978.5,981.25,970.25
2018-02-11,978.0,979.0,980.0,978.0
2018-02-12,981.5,984.5,993.5,980.0
2018-02-13,987.5,988.0,996.0,984.0
2018-02-14,986.5,1002.5,1006.0,984.5
2018-02-15,1002.5,1020.0,1022.5,1002.5
2018-02-16,1019.5,1044.5,1049.0,1019.5
2018-02-17,1032.0,1047.0,1049.25,1032.0
2018-02-18,1044.5,1049.5,1049.5,1044.5
2018-02-19,1046.5,1036.5,1052.0,1033.5
2018-02-20,1036.5,1035.5,1044.5,1028.5
2018-02-21,1035.0,1022.0,1036.5,1020.5
2018-02-22,1023.5,1040.0,1041.5,1020.0
2018-02-23,1042.0,1048.0,1048.5,1036.0
