Date,Open,Close,High,Low
2018-01-01,933.5,930.5,933.5,930.5
2018-01-02,931.0,945.5,946.5,931.0
2018-01-03,945.0,957.0,961.0,940.5
2018-01-04,955.0,964.0,966.5,945.0
2018-01-05,963.0,969.5,970.5,959.5
2018-01-06,965.25,967.25,969.0,962.25
2018-01-07,967.5,965.0,967.5,965.0
2018-01-08,970.0,973.0,975.0,966.5
2018-01-09,972.5,967.0,972.5,960.5
2018-01-10,966.0,971.0,975.0,958.5
2018-01-11,971.0,985.5,987.0,970.0
2018-01-12,985.5,995.5,999.5,984.0
2018-01-13,990.75,996.0,998.0,990.0
2018-01-14,996.0,996.5,996.5,996.0
2018-01-15,994.5,998.0,1001.5,987.5
2018-01-16,996.0,999.5,1001.0,985.5
2018-01-17,1000.0,1001.5,1009.0,998.0
2018-01-18,1000.5,1002.5,1008.0,997.0
2018-01-19,1003.0,1012.5,1016.5,1000.5
2018-01-20,1007.75,1012.75,508.25,500.25
2018-01-21,1012.5,1013.0,0.0,0.0
2018-01-22,1013.5,998.0,1021.0,992.0
2018-01-23,999.0,1009.0,1009.5,990.5
2018-01-24,1008.5,1017.0,1023.0,1006.0
2018-01-25,1016.5,1016.0,1029.5,1008.0
2018-01-26,1013.5,1011.5,1022.5,1011.5
2018-01-27,1012.5,1011.5,1017.0,1011.5
2018-01-28,1011.5,1011.5,1011.5,1011.5
2018-01-29,1012.5,1007.5,1014.5,1003.5
2018-01-30,1008.0,997.5,1009.5,992.5
2018-01-31,997.0,1002.0,1007.5,996.5
2018-02-01,1003.0,1009.0,1010.0,993.5
2018-02-02,1006.5,991.5,1007.5,987.0
2018-02-03,999.0,993.25,1001.25,987.25
2018-02-04,991.5,995.0,995.0,987.5
2018-02-05,989.5,990.0,996.5,987.5
2018-02-06,990.5,990.5,1001.0,984.5
2018-02-07,991.5,980.5,994.5,977.0
2018-02-08,980.5,976.5,983.0,969.5
2018-02-09,973.5,966.0,977.0,958.0
2018-02-10,969.75,965.75,971.5,961.75
2018-02-11,966.0,965.5,966.0,965.5
2018-02-12,966.0,970.5,973.5,961.0
2018-02-13,972.0,975.0,979.0,970.5
2018-02-14,975.5,997.0,1000.5,969.5
2018-02-15,997.0,1001.0,1008.0,994.0
2018-02-16,1001.0,1005.0,1012.5,1000.0
2018-02-17,1003.0,1005.25,1009.0,1002.0
2018-02-18,1005.0,1005.5,1005.5,1004.0
2018-02-19,1007.0,1009.5,1013.5,1004.5
2018-02-20,1009.0,1001.0,1010.5,999.0
2018-02-21,1001.0,991.0,1001.5,989.0
2018-02-22,990.0,997.5,999.5,985.0
